ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
GI_7705343-S	1.21e-15	3.37e-17	8.866.755	2.840.881	0.8219489	POLK	DNA polymerase kappa
GI_22027479-S	1.29e-15	3.61e-17	8.857.644	2.834.296	0.3859588	POGK	pogo transposable element with KRAB domain
GI_37543806-S	1.32e-15	3.69e-17	-8.854.544	2.832.057	-0.7757762		
GI_12597656-S	1.36e-15	3.84e-17	-884.931	2.828.276	-0.7164259	REEP1	receptor accessory protein 1
GI_7662501-S	1.39e-15	3.92e-17	-8.846.335	2.826.128	-0.5212989	MCTS1	MCTS1, re-initiation and release factor
GI_17986267-A	1.39e-15	3.94e-17	8.845.871	2.825.793	0.8685335	BANP	BTG3 associated nuclear protein
GI_41053624-S	1.41e-15	4.03e-17	8.842.734	2.823.529	0.621479	MMAB	methylmalonic aciduria (cobalamin deficiency) cblB type
GI_15147227-S	1.53e-15	4.39e-17	-8.831.091	281.513	-0.5963446	BEX1	brain expressed X-linked 1
GI_7662053-S	1.53e-15	4.40e-17	-8.830.637	2.814.802	-0.4036747	KIAA0319	KIAA0319
GI_27532983-A	1.59e-15	4.59e-17	-8.825.009	2.810.745	-0.462068	PIAS2	protein inhibitor of activated STAT 2
GI_34916003-S	1.59e-15	4.62e-17	8.824.016	281.003	0.6641832	DNAJC21	DnaJ heat shock protein family (Hsp40) member C21
GI_32813446-S	1.63e-15	4.74e-17	8.820.513	2.807.505	0.6854631	RGPD4	RANBP2-like and GRIP domain containing 4
GI_7657043-S	1.65e-15	4.84e-17	-8.817.914	2.805.633	-0.3239347	BEX3	brain expressed X-linked 3
GI_31543197-S	1.70e-15	5.00e-17	8.813.394	2.802.377	0.4420085	STK40	serine/threonine kinase 40
GI_19923334-S	1.74e-15	5.13e-17	8.809.899	279.986	0.5964057	SORBS3	sorbin and SH3 domain containing 3
GI_32528298-S	1.75e-15	5.17e-17	8.808.717	2.799.009	0.6503117	XIAP	X-linked inhibitor of apoptosis
GI_12597630-S	1.76e-15	5.22e-17	8.807.543	2.798.164	0.6352895	C12orf43	chromosome 12 open reading frame 43
GI_34916027-S	1.76e-15	5.26e-17	880.643	2.797.363	0.7619745	SLC16A9	solute carrier family 16 member 9
GI_22212924-I	1.76e-15	5.26e-17	8.806.376	2.797.324	10.556.193		
GI_14249309-S	2.00e-15	6.01e-17	8.788.342	2.784.352	0.6470872		
GI_40255185-S	2.02e-15	6.10e-17	-8.786.381	2.782.942	-0.4501604	CES4A	carboxylesterase 4A
GI_19743870-I	2.12e-15	6.44e-17	8.779.014	2.777.649	0.8203856		
GI_7262388-S	2.16e-15	6.57e-17	8.776.269	2.775.677	0.8216202	PCOLCE	procollagen C-endopeptidase enhancer
GI_38045885-A	2.18e-15	6.67e-17	-8.774.142	2.774.149	-0.4291114	CSMD3	CUB and Sushi multiple domains 3
GI_4557452-S	2.27e-15	6.96e-17	8.768.333	2.769.979	0.426187	CHD4	chromodomain helicase DNA binding protein 4
GI_22748948-S	2.34e-15	7.20e-17	8.763.671	2.766.633	0.3661228		
GI_14249499-S	2.67e-15	8.26e-17	8.744.996	2.753.243	0.9195982	TBRG1	transforming growth factor beta regulator 1
GI_19718798-A	2.78e-15	8.62e-17	8.739.155	2.749.058	0.7798043		
GI_27886525-I	2.86e-15	8.94e-17	8.734.172	274.549	0.6188051	NFAT5	nuclear factor of activated T-cells 5
GI_15011917-S	2.86e-15	8.95e-17	-8.734.064	2.745.413	-0.4529772	ATP6AP2	ATPase H+ transporting accessory protein 2
GI_32698691-S	2.87e-15	8.99e-17	873.342	2.744.951	0.4651662	ZDHHC8	zinc finger DHHC-type containing 8
GI_27477096-I	2.89e-15	9.11e-17	873.166	2.743.691	0.5276986	KMT5B	lysine methyltransferase 5B
GI_42657212-S	2.90e-15	9.15e-17	8.730.975	2.743.201	0.6687577		
GI_14249533-S	2.91e-15	9.22e-17	8.729.912	2.742.441	0.698274	FAM222A	family with sequence similarity 222 member A
GI_38569399-S	2.95e-15	9.41e-17	8.727.219	2.740.513	0.7846396	ITPKB	inositol-trisphosphate 3-kinase B
GI_4507200-S	3.00e-15	9.60e-17	-8.724.493	2.738.563	-0.5164143	SRD5A1	steroid 5 alpha-reductase 1
GI_31377724-S	3.01e-15	9.65e-17	8.723.716	2.738.007	0.6760519	ZNF462	zinc finger protein 462
GI_27499434-S	3.13e-15	1.01e-16	8.717.828	2.733.795	0.5509708	PPFIBP2	PPFIA binding protein 2
GI_31341355-S	3.67e-15	1.19e-16	869.544	2.717.799	0.7864141	LDLRAD3	low density lipoprotein receptor class A domain containing 3
GI_29570786-S	3.67e-15	1.19e-16	8.694.603	2.717.202	0.2411845	CTNNBL1	catenin beta like 1
GI_42661147-S	3.67e-15	1.20e-16	8.694.452	2.717.094	0.6127634		
GI_4758877-S	3.74e-15	1.22e-16	8.691.286	2.714.834	0.909863	PAFAH2	platelet activating factor acetylhydrolase 2
GI_14790189-S	4.04e-15	1.33e-16	8.680.201	2.706.927	0.4123906	SPEN	spen family transcriptional repressor
GI_30149009-S	4.38e-15	1.44e-16	-8.668.795	2.698.797	-0.4022954		
GI_21495177-S	4.56e-15	1.51e-16	8.662.813	2.694.536	0.7981966	FAM200A	family with sequence similarity 200 member A
GI_22027483-S	4.65e-15	1.54e-16	-8.659.497	2.692.174	-0.5120452	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase
GI_21040323-A	4.80e-15	1.60e-16	8.654.783	2.688.819	0.6413366	BCL6	B-cell CLL/lymphoma 6
GI_19923431-S	5.12e-15	1.71e-16	-8.645.005	2.681.863	-0.5242155	CCDC113	coiled-coil domain containing 113
GI_31343610-S	5.12e-15	1.71e-16	8.644.949	2.681.823	0.8015778	SWSAP1	SWIM-type zinc finger 7 associated protein 1
GI_4507842-S	5.18e-15	1.74e-16	-8.642.868	2.680.343	-0.4164529	UQCRC2	ubiquinol-cytochrome c reductase core protein II
GI_29171691-A	5.23e-15	1.77e-16	8.640.854	2.678.911	0.3718203		
GI_19923156-S	5.47e-15	1.85e-16	8.634.181	2.674.168	0.6975561	SLC6A12	solute carrier family 6 member 12
GI_13376553-S	5.47e-15	1.86e-16	8.633.741	2.673.855	0.7303728		
GI_24308286-S	5.50e-15	1.87e-16	8.632.698	2.673.114	0.5950728	FAM129B	family with sequence similarity 129 member B
GI_7657350-S	5.54e-15	1.89e-16	-8.631.243	267.208	-0.335637	MYBBP1A	MYB binding protein 1a
GI_12232446-S	5.60e-15	1.92e-16	8.629.198	2.670.628	0.3886206	CRTC3	CREB regulated transcription coactivator 3
GI_4758515-S	5.72e-15	1.97e-16	8.625.765	2.668.189	0.2532364	HDGF	hepatoma-derived growth factor
GI_21362111-S	6.05e-15	2.09e-16	-8.617.509	2.662.328	-0.4552639	LMBR1	limb development membrane protein 1
GI_4826767-A	6.16e-15	2.14e-16	-8.614.697	2.660.333	-0.6460538	ICA1	islet cell autoantigen 1
GI_44888817-S	6.18e-15	2.15e-16	8.613.602	2.659.556	0.3441605	DIP2C	disco interacting protein 2 homolog C
GI_34222187-S	6.27e-15	2.19e-16	8.611.314	2.657.932	0.72579	MOB3C	MOB kinase activator 3C
GI_7706748-S	6.32e-15	2.21e-16	-8.609.718	26.568	-0.6491395		
GI_5803206-S	6.58e-15	2.31e-16	8.603.606	2.652.467	0.2852615	U2AF1	U2 small nuclear RNA auxiliary factor 1
GI_42476023-S	6.64e-15	2.34e-16	8.601.933	2.651.281	0.3528389	THUMPD1	THUMP domain containing 1
GI_34147356-S	6.86e-15	2.43e-16	-8.596.957	2.647.754	-0.6235991	DDA1	DET1 and DDB1 associated 1
GI_21450851-A	6.92e-15	2.46e-16	8.595.345	2.646.612	0.3645856	OSBPL2	oxysterol binding protein like 2
GI_30581166-S	7.15e-15	2.55e-16	-8.590.381	2.643.096	-0.3752016	GSS	glutathione synthetase
GI_7657479-S	7.35e-15	2.63e-16	-8.585.988	2.639.985	-0.4162352	GHITM	growth hormone inducible transmembrane protein
GI_29570781-S	7.47e-15	2.68e-16	8.583.297	263.808	0.3319285	ASXL1	additional sex combs like 1, transcriptional regulator
GI_11321616-S	7.50e-15	2.70e-16	-8.582.312	2.637.383	-0.3956664	DPYSL4	dihydropyrimidinase like 4
GI_14150184-S	7.53e-15	2.72e-16	8.581.063	2.636.499	0.5579831	ZBED3	zinc finger BED-type containing 3
GI_38045911-A	7.53e-15	2.73e-16	-8.580.704	2.636.245	-0.5199502	NME1	NME/NM23 nucleoside diphosphate kinase 1
GI_23397457-S	7.53e-15	2.74e-16	8.580.435	2.636.054	0.9132965	KIF19	kinesin family member 19
GI_6912301-S	7.59e-15	2.77e-16	8.579.008	2.635.044	0.4997851		
GI_34222326-S	7.75e-15	2.83e-16	-8.575.631	2.632.655	-0.7968111	HMP19	HMP19 protein
GI_6995999-S	7.83e-15	2.87e-16	-8.573.758	2.631.331	-0.4221498	ARF5	ADP ribosylation factor 5
GI_6995997-S	8.32e-15	3.06e-16	-8.564.901	2.625.068	-0.3233947	ARF1	ADP ribosylation factor 1
GI_37551996-S	8.40e-15	3.10e-16	8.563.149	2.623.829	0.560847		
GI_26051226-I	8.49e-15	3.15e-16	8.561.124	2.622.398	0.6075287		
GI_37552328-S	8.98e-15	3.34e-16	-8.552.925	2.616.607	-0.6664579		
GI_4507112-S	8.99e-15	3.35e-16	-8.552.392	261.623	-0.6362677	SNCG	synuclein gamma
GI_8922205-S	9.12e-15	3.41e-16	-8.549.947	2.614.504	-0.4540785	SUSD4	sushi domain containing 4
GI_8923113-S	9.50e-15	3.56e-16	-8.543.906	261.024	-0.3564462	OTUB1	OTU deubiquitinase, ubiquitin aldehyde binding 1
GI_31317237-S	9.73e-15	3.66e-16	854.012	2.607.569	0.3681726	FRAT2	frequently rearranged in advanced T-cell lymphomas 2
GI_11545760-S	9.81e-15	3.70e-16	8.538.617	2.606.509	0.503831	KCNK12	potassium two pore domain channel subfamily K member 12
GI_45269143-A	1.01e-14	3.81e-16	8.534.725	2.603.763	0.2668435	KEAP1	kelch like ECH associated protein 1
GI_13899326-S	1.02e-14	3.88e-16	853.195	2.601.807	10.264.411	NRIP2	nuclear receptor interacting protein 2
GI_5360215-I	1.06e-14	4.04e-16	-8.526.527	2.597.984	-0.5198012	IDS	iduronate 2-sulfatase
GI_15812190-S	1.07e-14	4.08e-16	8.525.116	259.699	0.824496	FBXO5	F-box protein 5
GI_24308106-S	1.11e-14	4.25e-16	8.519.507	2.593.038	0.5090004	SZRD1	SUZ RNA binding domain containing 1
GI_16753216-A	1.11e-14	4.26e-16	-8.519.269	2.592.871	-0.5380276	PFN2	profilin 2
GI_27735038-S	1.11e-14	4.27e-16	8.518.759	2.592.511	0.3028558	ANAPC16	anaphase promoting complex subunit 16
GI_24430142-S	1.15e-14	4.45e-16	8.513.066	2.588.503	0.7290159	GFAP	glial fibrillary acidic protein
GI_20336200-I	1.15e-14	4.47e-16	8.512.545	2.588.136	0.6444997		
GI_20070263-S	1.21e-14	4.73e-16	-8.504.595	2.582.541	-0.4633463	ERLEC1	endoplasmic reticulum lectin 1
GI_37594443-S	1.24e-14	4.85e-16	8.501.121	2.580.097	0.6526388	ZMYND10	zinc finger MYND-type containing 10
GI_19923854-S	1.24e-14	4.86e-16	8.500.761	2.579.844	0.6937022	SYAP1	synapse associated protein 1
GI_19913433-S	1.26e-14	4.94e-16	-8.498.492	2.578.249	-0.4603875	ATP6V1E1	ATPase H+ transporting V1 subunit E1
GI_7657384-S	1.27e-14	5.01e-16	8.496.738	2.577.015	0.5142857	CNOT2	CCR4-NOT transcription complex subunit 2
GI_41327770-S	1.28e-14	5.07e-16	8.494.867	25.757	0.3706919	DDX23	DEAD-box helicase 23
GI_33620750-S	1.31e-14	5.20e-16	8.491.528	2.573.353	0.807086	PCYOX1	prenylcysteine oxidase 1
GI_5901913-S	1.40e-14	5.57e-16	-8.481.941	2.566.618	-0.7256166	RAPGEF4	Rap guanine nucleotide exchange factor 4
GI_4507744-S	1.40e-14	5.59e-16	-8.481.382	2.566.225	-0.3971366	TXN	thioredoxin
GI_8923886-S	1.46e-14	5.83e-16	8.475.392	256.202	0.5778602	ZNF395	zinc finger protein 395
GI_42476106-A	1.47e-14	5.89e-16	-8.473.981	2.561.029	-0.4456279	GPM6A	glycoprotein M6A
GI_14249251-S	1.49e-14	5.99e-16	8.471.678	2.559.413	0.739613	ZNF577	zinc finger protein 577
GI_42659930-S	1.56e-14	6.30e-16	846.475	2.554.553	0.3725322	ARID2	AT-rich interaction domain 2
GI_16945969-I	1.59e-14	6.43e-16	-8.461.908	255.256	-0.3158046	PSIP1	PC4 and SFRS1 interacting protein 1
GI_34147363-S	1.60e-14	6.51e-16	-8.460.099	2.551.292	-0.5544048	APOO	apolipoprotein O
GI_5730016-S	1.61e-14	6.54e-16	-8.459.516	2.550.883	-0.4032539	RPP40	ribonuclease P/MRP subunit p40
GI_37550208-S	1.62e-14	6.63e-16	8.457.628	254.956	0.6154214		
GI_14042973-S	1.64e-14	6.73e-16	-8.455.475	2.548.051	-10.791.491	NCALD	neurocalcin delta
GI_7656889-A	1.68e-14	6.90e-16	8.452.082	2.545.674	0.3316716	REPIN1	replication initiator 1
GI_4759181-S	1.82e-14	7.50e-16	-8.440.413	2.537.501	-0.468946	STX1A	syntaxin 1A
GI_40538805-S	1.85e-14	7.66e-16	8.437.492	2.535.457	0.3790115	EBLN2	endogenous Bornavirus-like nucleoprotein 2
GI_42544238-S	1.85e-14	7.66e-16	8.437.488	2.535.454	0.6895205	CFD	complement factor D
GI_8923627-S	1.86e-14	7.72e-16	8.436.283	2.534.611	0.5896646	TTC38	tetratricopeptide repeat domain 38
GI_21618337-A	1.89e-14	7.87e-16	8.433.599	2.532.733	0.5447922	STAT3	signal transducer and activator of transcription 3
GI_21536459-S	2.02e-14	8.45e-16	842.369	2.525.803	0.5640736	MAP3K5	mitogen-activated protein kinase kinase kinase 5
GI_20336333-A	2.03e-14	8.50e-16	8.422.914	2.525.261	0.2674002	BCL2L1	BCL2 like 1
GI_23238206-S	2.10e-14	8.80e-16	-8.417.957	2.521.797	-0.403832	TNFRSF21	TNF receptor superfamily member 21
GI_7662095-S	2.24e-14	9.43e-16	8.408.303	2.515.054	0.7258577	KIAA0408	KIAA0408
GI_5360207-A	2.27e-14	9.57e-16	-8.406.238	2.513.613	-0.5373004	IDS	iduronate 2-sulfatase
GI_31377613-S	2.32e-14	9.84e-16	8.402.347	2.510.897	0.6944819	SMIM12	small integral membrane protein 12
GI_7106298-S	2.33e-14	9.92e-16	-8.401.256	2.510.135	-0.4812008	ATXN10	ataxin 10
GI_4885656-S	2.33e-14	9.94e-16	8.401.017	2.509.968	0.7905498	XRCC2	X-ray repair cross complementing 2
GI_29837647-S	2.35e-14	1.01e-15	-8.399.316	2.508.782	-0.4756223	CYP4X1	cytochrome P450 family 4 subfamily X member 1
GI_23397559-S	2.35e-14	1.01e-15	8.399.139	2.508.658	0.6106992	ZNF549	zinc finger protein 549
GI_19923783-S	2.49e-14	1.07e-15	-8.390.629	2.502.723	-0.5458194	SUB1	SUB1 homolog, transcriptional regulator
GI_18105001-I	2.49e-14	1.07e-15	8.390.178	2.502.408	0.6839071	SYNRG	synergin, gamma
GI_29171733-S	2.52e-14	1.09e-15	8.388.308	2.501.105	0.7584621	AGO2	argonaute 2, RISC catalytic component
GI_45331210-S	2.66e-14	1.15e-15	8.380.345	2.495.556	0.7152999		
GI_42661614-S	2.83e-14	1.23e-15	8.371.082	2.489.105	0.6538157	ZFP30	ZFP30 zinc finger protein
GI_7705420-S	2.83e-14	1.23e-15	8.370.715	248.885	0.6664191	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7
GI_31652250-S	2.87e-14	1.25e-15	8.368.411	2.487.247	0.366667	CCDC174	coiled-coil domain containing 174
GI_22095370-S	3.38e-14	1.48e-15	834.499	2.470.962	0.225298	RUFY1	RUN and FYVE domain containing 1
GI_32307180-S	3.40e-14	1.49e-15	8.344.006	2.470.278	0.5754681	DENND5B	DENN domain containing 5B
GI_10947033-S	3.59e-14	1.58e-15	8.336.016	2.464.731	0.5952252	MXD4	MAX dimerization protein 4
GI_40255114-S	3.93e-14	1.73e-15	8.322.807	2.455.566	0.3491516	N4BP1	NEDD4 binding protein 1
GI_7661745-S	3.95e-14	1.75e-15	-8.321.691	2.454.793	-0.4068518	SPCS1	signal peptidase complex subunit 1
GI_14602451-S	3.95e-14	1.75e-15	8.321.102	2.454.384	0.2876981	POLR2F	RNA polymerase II subunit F
GI_21536433-S	3.98e-14	1.77e-15	8.319.844	2.453.513	0.5061894		
GI_41872630-S	4.03e-14	1.80e-15	-8.317.482	2.451.875	-0.4424951	FASN	fatty acid synthase
GI_13899252-S	4.14e-14	1.85e-15	8.313.497	2.449.113	0.3669503	UCK1	uridine-cytidine kinase 1
GI_5729985-S	4.35e-14	1.95e-15	-830.598	2.443.907	-0.4250024	POP4	POP4 homolog, ribonuclease P/MRP subunit
GI_27754770-I	4.43e-14	1.99e-15	8.303.207	2.441.987	0.5822639	PCDH1	protocadherin 1
GI_20127573-S	4.52e-14	2.04e-15	830.004	2.439.795	0.4748481	FOXN3	forkhead box N3
GI_33438589-S	4.56e-14	2.06e-15	-8.298.369	2.438.638	-0.5637677	DMRTC1	DMRT like family C1
GI_42476163-S	4.67e-14	2.12e-15	8.294.547	2.435.994	0.6580238	POU2F1	POU class 2 homeobox 1
GI_38569463-S	4.74e-14	2.15e-15	8.292.246	2.434.402	0.639702	SASH1	SAM and SH3 domain containing 1
GI_14150142-S	4.76e-14	2.17e-15	829.131	2.433.755	0.6637904	ZNF397	zinc finger protein 397
GI_31543933-S	4.78e-14	2.18e-15	-8.290.235	2.433.012	-0.6118625	NRSN1	neurensin 1
GI_34147658-S	4.84e-14	2.22e-15	-8.287.962	243.144	-0.7595802	UCHL1	ubiquitin C-terminal hydrolase L1
GI_31543978-S	4.89e-14	2.25e-15	8.286.172	2.430.202	0.5034165	ZBTB16	zinc finger and BTB domain containing 16
GI_34101267-S	5.00e-14	2.30e-15	8.282.717	2.427.814	0.4227533	KLHL8	kelch like family member 8
GI_4505398-S	5.07e-14	2.34e-15	-8.280.443	2.426.243	-0.3909774	NIPSNAP1	nipsnap homolog 1 (C. elegans)
GI_4826903-S	5.19e-14	2.40e-15	-8.276.894	2.423.791	-10.930.159	SERPINI1	serpin family I member 1
GI_21618341-S	5.34e-14	2.48e-15	827.238	2.420.673	0.6257407	STAT5A	signal transducer and activator of transcription 5A
GI_21553314-S	5.63e-14	2.62e-15	826.463	2.415.323	0.3152137	PIGM	phosphatidylinositol glycan anchor biosynthesis class M
GI_7706090-S	5.68e-14	2.65e-15	8.262.629	2.413.942	0.5395073	BFAR	bifunctional apoptosis regulator
GI_22095338-S	5.68e-14	2.66e-15	-8.262.456	2.413.823	-0.3862425	PGK1	phosphoglycerate kinase 1
GI_13376528-S	5.74e-14	2.69e-15	8.260.799	241.268	0.4900973	CEP135	centrosomal protein 135
GI_38016132-S	5.74e-14	2.70e-15	8.260.303	2.412.338	0.9583954		
GI_21359891-S	6.11e-14	2.88e-15	8.251.044	2.405.953	0.2575284	MKRN1	makorin ring finger protein 1
GI_40316940-S	6.18e-14	2.92e-15	-824.915	2.404.648	-0.2801633	AIG1	androgen induced 1
GI_27886558-A	6.39e-14	3.03e-15	8.243.986	2.401.089	0.5431533		
GI_34303921-S	6.44e-14	3.05e-15	-8.242.718	2.400.216	-0.6750307	TRUB1	TruB pseudouridine synthase family member 1
GI_21237782-S	7.02e-14	3.34e-15	-8.230.132	2.391.551	-0.3597331	COG1	component of oligomeric golgi complex 1
GI_8923664-S	7.20e-14	3.44e-15	8.225.802	2.388.572	0.7974383	CUEDC1	CUE domain containing 1
GI_37540871-S	7.20e-14	3.44e-15	8.225.756	238.854	0.3987014	ZNF609	zinc finger protein 609
GI_27436874-S	7.41e-14	3.55e-15	-8.221.272	2.385.456	-0.4652231	RUNDC1	RUN domain containing 1
GI_19913430-S	8.06e-14	3.87e-15	-8.209.053	2.377.059	-0.5504716	ATP6V1C1	ATPase H+ transporting V1 subunit C1
GI_27734700-S	8.08e-14	3.89e-15	8.208.314	2.376.551	0.7358699	DIP2B	disco interacting protein 2 homolog B
GI_22068828-S	8.31e-14	4.01e-15	8.203.905	2.373.522	0.344155		
GI_20127628-S	8.42e-14	4.07e-15	8.201.782	2.372.065	0.4655159	ZNF768	zinc finger protein 768
GI_4502192-S	8.68e-14	4.21e-15	8.197.121	2.368.866	0.5021153	ARAF	A-Raf proto-oncogene, serine/threonine kinase
GI_4885136-S	8.69e-14	4.23e-15	8.196.543	2.368.469	0.6144556	FOXN3	forkhead box N3
GI_40353772-S	8.86e-14	4.32e-15	8.193.426	2.366.331	0.6076698	TRIM58	tripartite motif containing 58
GI_19924114-I	8.96e-14	4.38e-15	8.191.569	2.365.057	0.5262002	RAD51B	RAD51 paralog B
GI_21361740-S	9.09e-14	4.46e-15	-8.189.035	2.363.319	-0.3424428	VTA1	vesicle trafficking 1
GI_23510344-I	9.41e-14	4.62e-15	818.378	2.359.716	0.4202462	FYN	FYN proto-oncogene, Src family tyrosine kinase
GI_14916518-S	9.99e-14	4.92e-15	-8.174.986	2.353.691	-0.26849	AP3M2	adaptor related protein complex 3 mu 2 subunit
GI_5031946-S	1.01e-13	4.99e-15	-8.172.908	2.352.267	-0.310137	NIT1	nitrilase 1
GI_6857817-S	1.03e-13	5.12e-15	-8.169.284	2.349.786	-0.4406867	NPM3	nucleophosmin/nucleoplasmin 3
GI_31377696-S	1.06e-13	5.26e-15	8.165.265	2.347.034	0.4449915	COLGALT1	collagen beta(1-O)galactosyltransferase 1
GI_34147375-S	1.07e-13	5.32e-15	8.163.685	2.345.954	0.7004953	MFSD11	major facilitator superfamily domain containing 11
GI_27500805-S	1.09e-13	5.44e-15	8.160.624	2.343.859	0.786551		
GI_24797090-A	1.13e-13	5.65e-15	8.155.229	2.340.169	0.4674759		
GI_23943871-S	1.13e-13	5.67e-15	-8.154.709	2.339.813	-0.3097103	SMAP2	small ArfGAP2
GI_5454069-S	1.18e-13	5.93e-15	-8.148.288	2.335.424	-0.5019562	SLC9A6	solute carrier family 9 member A6
GI_4505876-A	1.20e-13	6.01e-15	8.146.272	2.334.046	0.4307637	PLEC	plectin
GI_27478393-S	1.22e-13	6.16e-15	8.142.887	2.331.733	0.8736303		
GI_20070184-S	1.27e-13	6.42e-15	8.136.835	23.276	0.751091	USP14	ubiquitin specific peptidase 14
GI_33695108-S	1.28e-13	6.46e-15	-8.135.978	2.327.015	-0.2787138	RABEPK	Rab9 effector protein with kelch motifs
GI_21361572-S	1.28e-13	6.51e-15	-8.134.951	2.326.314	-0.7919633	CHN1	chimerin 1
GI_32171214-S	1.33e-13	6.80e-15	8.128.647	2.322.012	0.3893377	CRTC2	CREB regulated transcription coactivator 2
GI_13384599-S	1.33e-13	6.80e-15	-8.128.598	2.321.978	-0.4373644	SPATA7	spermatogenesis associated 7
GI_6912649-S	1.33e-13	6.81e-15	8.128.566	2.321.957	0.610239	SEMA3E	semaphorin 3E
GI_21729881-I	1.42e-13	7.26e-15	8.119.341	2.315.665	0.7006063	LIPT1	lipoyltransferase 1
GI_22749464-S	1.45e-13	7.46e-15	8.115.459	2.313.019	0.3956043		
GI_4885078-S	1.45e-13	7.46e-15	-8.115.408	2.312.985	-0.3748501	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
GI_42661835-S	1.54e-13	7.95e-15	8.106.283	2.306.768	0.6987058		
GI_19743913-A	1.59e-13	8.23e-15	-810.123	2.303.328	-0.6198851	PTPRN2	protein tyrosine phosphatase, receptor type N2
GI_38788287-S	1.59e-13	8.27e-15	8.100.695	2.302.964	0.6777609	ZNF160	zinc finger protein 160
GI_20070102-S	1.61e-13	8.38e-15	8.098.725	2.301.622	0.7088279	TEAD2	TEA domain transcription factor 2
GI_11415035-S	1.61e-13	8.40e-15	8.098.392	2.301.396	0.5683316	ZNF148	zinc finger protein 148
GI_20149601-S	1.64e-13	8.57e-15	809.559	2.299.489	0.557574	NT5C2	5'-nucleotidase, cytosolic II
GI_4507104-S	1.82e-13	9.52e-15	-8.080.425	2.289.178	-0.4379566		
GI_33383230-A	1.86e-13	9.77e-15	8.076.701	2.286.648	0.367455	SRRT	serrate, RNA effector molecule
GI_21361613-S	2.00e-13	1.05e-14	8.065.968	2.279.361	0.4927213	STK11	serine/threonine kinase 11
GI_38093646-S	2.08e-13	1.09e-14	8.060.475	2.275.635	0.6563285	TMEM17	transmembrane protein 17
GI_31377537-S	2.19e-13	1.16e-14	8.052.426	2.270.177	0.6312372	METTL21A	methyltransferase like 21A
GI_22748870-S	2.19e-13	1.16e-14	8.051.647	2.269.648	0.8555116	ZNF786	zinc finger protein 786
GI_31543135-S	2.19e-13	1.16e-14	8.051.514	2.269.558	0.4042178	MAF1	MAF1 homolog, negative regulator of RNA polymerase III
GI_20336758-S	2.21e-13	1.17e-14	8.050.247	22.687	0.3196142	H1F0	H1 histone family member 0
GI_39725675-S	2.25e-13	1.20e-14	8.047.029	2.266.519	0.4125789	CDK2AP2	cyclin dependent kinase 2 associated protein 2
GI_37550009-S	2.29e-13	1.22e-14	-8.044.379	2.264.724	-0.2473703		
GI_21361564-S	2.30e-13	1.23e-14	-8.043.287	2.263.984	-0.3119355	ATP5F1	ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1
GI_40538800-S	2.34e-13	1.25e-14	-8.040.936	2.262.392	-0.7670636	TMEM200A	transmembrane protein 200A
GI_28395048-S	2.35e-13	1.26e-14	-8.039.523	2.261.435	-0.5665112	COX18	COX18, cytochrome c oxidase assembly factor
GI_31742491-S	2.37e-13	1.28e-14	8.038.066	2.260.449	0.6804679	N4BP2	NEDD4 binding protein 2
GI_19311005-S	2.44e-13	1.32e-14	-8.033.716	2.257.504	-0.6623282	PPP1R14C	protein phosphatase 1 regulatory inhibitor subunit 14C
GI_4504148-S	2.48e-13	1.34e-14	-8.030.786	2.255.522	-0.748662	GRM8	glutamate metabotropic receptor 8
GI_32307133-S	2.51e-13	1.36e-14	8.028.905	2.254.249	0.5250049	NKX2-2	NK2 homeobox 2
GI_38327525-A	2.74e-13	1.49e-14	8.015.723	2.245.337	0.7378983	CPM	carboxypeptidase M
GI_26051226-A	2.75e-13	1.50e-14	8.014.923	2.244.797	0.7291921		
GI_24431968-S	2.77e-13	1.51e-14	-8.013.966	224.415	-0.4497426	OLA1	Obg-like ATPase 1
GI_10938020-S	2.81e-13	1.54e-14	-8.011.527	2.242.503	-0.7119427	FABP3	fatty acid binding protein 3
GI_20336278-A	2.81e-13	1.54e-14	8.011.122	2.242.229	0.451635	SLC26A6	solute carrier family 26 member 6
